Category,Relation,Dataset,models,f1_score,Precision,Recall,Execution_Time
Wikidata,View-Unionable,musicians_viewunion,bert-base-uncased,0.1428571428571428,0.125,0.1666666666666666,651.2962770462036
Wikidata,View-Unionable,musicians_viewunion,distilbert-base-uncased,0.4285714285714285,0.375,0.5,489.67724227905273
Wikidata,View-Unionable,musicians_viewunion,sentence-transformers/all-MiniLM-L6-v2,0.25,0.2,0.3333333333333333,282.2800209522248
Wikidata,View-Unionable,musicians_viewunion,albert-base-v2,0.2666666666666666,0.2222222222222222,0.3333333333333333,450.54147505760193
Wikidata,View-Unionable,musicians_viewunion,facebook/bart-base,0.28571428571428575,0.25,0.3333333333333333,1251.5563521385193
Wikidata,View-Unionable,musicians_viewunion,gpt,0.25,0.2,0.3333333333333333,274.13700580596924
Wikidata,View-Unionable,musicians_viewunion,roberta-base,0.30769230769230765,0.2857142857142857,0.3333333333333333,663.7465252876282
Wikidata,Joinable,musicians_joinable,distilbert-base-uncased,0.0,0.0,0.0,427.6348819732666
Wikidata,Joinable,musicians_joinable,sentence-transformers/all-MiniLM-L6-v2,0.5,0.4,0.6666666666666666,245.2650330066681
Wikidata,Joinable,musicians_joinable,albert-base-v2,0.13333333333333333,0.1111111111111111,0.16666666666666666,343.89154624938965
Wikidata,Joinable,musicians_joinable,facebook/bart-base,0.125,0.1,0.16666666666666666,1375.8860940933228
Wikidata,Joinable,musicians_joinable,gpt,0.28571428571428575,0.25,0.3333333333333333,269.7585999965668
Wikidata,Joinable,musicians_joinable,roberta-base,0.13333333333333333,0.1111111111111111,0.16666666666666666,4252.092641115189
Wikidata,Semantically-Joinable,musicians_semjoinable,bert-base-uncased,0.0,0.0,0.0,794.9608130455017
Wikidata,Semantically-Joinable,musicians_semjoinable,distilbert-base-uncased,0.0,0.0,0.0,510.2239739894867
Wikidata,Semantically-Joinable,musicians_semjoinable,sentence-transformers/all-MiniLM-L6-v2,0.22222222222222224,0.2,0.25,310.2880389690399
Wikidata,Semantically-Joinable,musicians_semjoinable,albert-base-v2,0.11111111111111112,0.1,0.125,387.24082493782043
Wikidata,Semantically-Joinable,musicians_semjoinable,facebook/bart-base,0.11111111111111112,0.1,0.125,1584.2934470176697
Wikidata,Semantically-Joinable,musicians_semjoinable,gpt,0.4444444444444445,0.4,0.5,339.96102499961853
Wikidata,Semantically-Joinable,musicians_semjoinable,roberta-base,0.0,0.0,0.0,798.9381561279297
Wikidata,Unionable,musicians_unionable,bert-base-uncased,0.12121212121212123,0.15384615384615385,0.1,1564.5446627140045
Wikidata,Unionable,musicians_unionable,distilbert-base-uncased,0.1764705882352941,0.21428571428571427,0.15,999.5470929145813
Wikidata,Unionable,musicians_unionable,sentence-transformers/all-MiniLM-L6-v2,0.3157894736842105,0.3333333333333333,0.3,618.5051367282867
Wikidata,Unionable,musicians_unionable,albert-base-v2,0.1764705882352941,0.21428571428571427,0.15,785.1087727546692
Wikidata,Unionable,musicians_unionable,facebook/bart-base,0.22222222222222224,0.25,0.2,3111.864398956299
Wikidata,Unionable,musicians_unionable,gpt,0.33333333333333326,0.375,0.3,707.7272288799286
Wikidata,Unionable,musicians_unionable,roberta-base,0.12121212121212123,0.15384615384615385,0.1,1621.7574887275696
